,areaWithType,area_sqft,transaction,status,property_floor,total_floor,furnishing,facing,price_per_sqft,price_Lac,property_name,description,floor_ratio,price_area_ratio,furnishing_facing
15,1.0,850.0,1.0,1.0,5.0,8.0,0.0,5.0,3637.0,45.0,2 BHK Apartment for Sale in Bhatar Road Surat,"Good news for those planning to own a flat in Surat!! Introducing a well-maintained 2 BHK apartment now available for sale on Bhatar Road, Surat. Boasting essential services within a short range, this property is definitely the right choice to lead a hassle-free life with the family. Then, why wait, book this property today!!Property SpecificationsThoughtfully designed, this 2 BHK flat spanning across a carpet area of 850 sqft is levelled on the 4th floor of a 7-storey building. Furnished with wardrobes, beds, AC, lights, and fans, this residence offers a seamless blend of convenience and elegance. Being vaastu compliant is another highlight of this property and the flat faces the southeast direction.Moving to the layout, the flat consists of two bedrooms and 2 western-style bathrooms ( 1 attached, 1 common) equipped with geysers. A balcony attached to one bedroom provides a charming view of the road. Further, the living-cum-dining area, store room, and modular kitchen with a piped gas connection showcase thoughtful design.That is not all, there is a utility area with the kitchen for added convenience and the flooring throughout the flat is adorned with marble.FacilitiesThis property benefits from facilities such as 2 open parking spaces, 24-hour water supply from both borewell and corporation sources, 100% power backup, tight security, CCTV surveillance, and a lift.LocalityLocated near Uma Bhavan, this property is within 1 km of schools, hospitals, and malls/supermarkets, ensuring proximity to essential amenities. Public transport options, including buses and autos, are easily accessible while the railway station is  just 7km away and a metro station is at a convenient 100m distance.Read more",0.625,0.052941176470588235,0.0
16,1.0,180.0,1.0,1.0,4.0,4.0,3.0,8.0,14728.0,26.5,  Shop for Sale in Moti Begumwadi Surat,"4056,Hari om Textile Market, Ring Road, Near Rohit AC Market",1.0,0.14722222222222223,24.0
17,3.0,800.0,1.0,1.0,3.0,7.0,3.0,8.0,5250.0,42.0,  Office Space for Sale in Nanpura Surat,"Property is suitable for Lawyers, Chartered Accountants and other Back office work.Read more",0.42857142857142855,0.0525,24.0
18,1.0,1000.0,0.0,1.0,4.0,6.0,0.0,0.0,3185.0,43.0,3 BHK Apartment for Sale in Mota Varachha Surat,"3bhk fully furnished flat in Mota Varachha n well maintained fully furnished with softa, fan  lightsRead more",0.6666666666666666,0.043,0.0
19,1.0,731.0,1.0,1.0,3.0,6.0,2.0,0.0,2736.0,20.0,1 BHK Apartment for Sale in Ramnagar Surat,gated security,0.5,0.027359781121751026,0.0
20,1.0,816.0,1.0,1.0,4.0,13.0,3.0,8.0,4534.0,37.0,  Office Space for Sale in Belgium Tower Ring Rode Surat,Commercial office space is available for sale. It has carpet area 816 sq-ft. Please contact for more details.Read more,0.3076923076923077,0.04534313725490196,24.0
21,1.0,950.0,1.0,1.0,6.0,6.0,2.0,7.0,2829.0,29.0,2 BHK Builder Floor for Sale in Amroli Surat,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,1.0,0.030526315789473683,14.0
22,3.0,1150.0,1.0,2.0,4.5,5.0,2.0,8.0,3304.0,38.0,2 BHK Apartment for Sale in Palan Pur Patiya Surat,Multistorey Apartment is located at the advantageous 1st floor in a tower of total 7 floors. It is a relatively new property with construction age less than 5 yrs.Read more,0.9,0.03304347826086956,16.0
23,1.0,432.0,0.0,1.0,1.0,2.0,2.0,7.0,3009.0,13.0,1 BHK  House for Sale in Palsana Surat,Corner house,0.5,0.03009259259259259,14.0
24,1.0,350.0,1.0,1.0,-2.0,8.0,3.0,8.0,12857.0,45.0,  Shop for Sale in Ghod Dod Road Surat,"  Commercial Shop is available for Sale in Ghod Dod Road, Surat for 45.0 Lac(s)Read more",-0.25,0.12857142857142856,24.0
